 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
788315037374656801,https://www.airbnb.com/rooms/788315037374656801,121718865,Entire home,39.74902,-105.02755,2,0.0,4,-NA,0,398.0,0.0,0.0,0.0,2,0.0,0.0,High,Large,No,No,Yes,No,No,No,1,608
790791941436994055,https://www.airbnb.com/rooms/790791941436994055,26242355,Entire home,39.76739,-105.01021,2,1.0,4,5.0,4,274.0,37.0,21807.0,271.0,1,25.0,3.0,Low,Small,No,No,Yes,No,No,No,1,609
802997761431177510,https://www.airbnb.com/rooms/802997761431177510,479520142,Entire rental unit,39.757904318,-105.025052069,2,2.0,5,5.0,2,97.0,48.0,3780.0,82.0,30,0.0,30.0,None,Large,No,No,Yes,Yes,No,No,1,610
817433552711314083,https://www.airbnb.com/rooms/817433552711314083,121718072,Entire townhouse,39.75667,-105.02238,2,4.0,6,-NA,0,408.0,0.0,0.0,265.0,2,0.0,0.0,Low,Large,No,Yes,Yes,No,No,No,1,611
818260714852820488,https://www.airbnb.com/rooms/818260714852820488,498749764,Entire townhouse,39.75984,-105.01383,2,1.5,4,4.92,12,261.0,80.0,30499.0,201.0,1,22.5,3.0,None,Individual,No,No,Yes,No,No,No,1,612
821082810349397447,https://www.airbnb.com/rooms/821082810349397447,34955862,Entire home,39.7518716,-105.0202877,2,2.5,6,5.0,12,253.0,56.0,37336.0,238.0,3,38.0,3.0,Moderate,Large,No,No,Yes,Yes,No,No,1,613
837055478567758977,https://www.airbnb.com/rooms/837055478567758977,124796998,Entire rental unit,39.781788422700004,-105.0228862895,2,2.0,5,-NA,0,145.0,69.0,6504.0,91.0,29,0.0,31.5,High,Moderate,No,No,Yes,No,No,No,1,614
846503247637729052,https://www.airbnb.com/rooms/846503247637729052,11904444,Entire home,39.7650811,-105.0066835,2,2.5,6,4.96,26,266.0,85.0,42519.0,196.0,1,52.0,3.0,High,Individual,No,No,Yes,Yes,No,No,1,615
852237937944804381,https://www.airbnb.com/rooms/852237937944804381,3023868,Entire home,39.7655423401,-105.0289637438,2,2.0,4,-NA,0,189.0,61.0,8337.0,90.0,30,0.0,55.0,None,Large,No,No,Yes,No,No,No,1,616
853115486176206495,https://www.airbnb.com/rooms/853115486176206495,360272923,Entire home,39.7757505,-105.0063243,2,2.5,8,4.83,23,225.0,67.0,19887.0,124.0,2,36.0,3.0,High,Individual,No,No,Yes,Yes,No,No,1,617
859423826453394089,https://www.airbnb.com/rooms/859423826453394089,57319222,Entire rental unit,39.773034,-105.0054313,2,1.0,5,5.0,11,155.0,66.0,13047.0,120.0,2,29.0,4.0,Low,Individual,No,No,Yes,No,No,No,1,618
866571663171913828,https://www.airbnb.com/rooms/866571663171913828,1604631,Entire rental unit,39.7528779,-105.0366469,2,1.0,4,5.0,3,114.0,86.0,12383.0,145.0,30,69.5,45.5,Moderate,Small,No,No,Yes,Yes,No,No,1,619
866805467375723312,https://www.airbnb.com/rooms/866805467375723312,48084330,Entire home,39.7790586672,-105.0228368274,2,1.0,4,-NA,0,129.0,44.0,3164.0,61.0,29,11.0,27.0,Low,Small,No,No,Yes,No,No,No,1,620
869867120611811343,https://www.airbnb.com/rooms/869867120611811343,1604631,Entire rental unit,39.7522566891,-105.0335526145,2,1.0,4,4.67,3,128.0,68.0,2550.0,44.0,30,13.0,5.0,Moderate,Small,No,No,Yes,Yes,No,No,1,621
870224705273651455,https://www.airbnb.com/rooms/870224705273651455,94956055,Entire rental unit,39.7680408968,-105.0119370531,2,2.0,4,5.0,1,225.0,100.0,12555.0,93.0,29,1.0,31.0,None,Individual,No,No,Yes,No,No,No,1,622
879801499444509134,https://www.airbnb.com/rooms/879801499444509134,512230260,Entire home,39.7534920189,-105.0208942444,2,3.0,5,5.0,11,261.0,78.0,17852.0,69.0,2,21.5,3.0,Low,Individual,No,No,Yes,Yes,No,No,1,623
884043650104940344,https://www.airbnb.com/rooms/884043650104940344,509600971,Entire home,39.7565256,-105.0262009,2,2.5,4,5.0,3,250.0,41.0,1557.0,22.0,3,16.0,4.5,None,Individual,No,No,Yes,No,No,No,1,624
891970948734513215,https://www.airbnb.com/rooms/891970948734513215,44284680,Entire guesthouse,39.777,-105.03588,2,1.0,4,5.0,12,217.5,60.0,17302.0,156.0,1,5.0,5.0,High,Individual,No,No,Yes,No,No,No,1,625
896440077481931727,https://www.airbnb.com/rooms/896440077481931727,69551645,Entire home,39.74674,-105.0293,2,2.5,4,5.0,2,167.0,45.0,5533.0,38.0,2,9.5,1.5,None,Moderate,No,No,Yes,No,No,No,1,626
898523538812950495,https://www.airbnb.com/rooms/898523538812950495,37246940,Entire home,39.7610198246,-105.0135043109,2,3.0,4,5.0,5,275.0,83.0,15875.0,64.0,3,39.0,4.0,Low,Individual,No,No,Yes,No,No,No,1,627
901393461466477621,https://www.airbnb.com/rooms/901393461466477621,516732343,Entire home,39.76656,-105.03944,2,1.0,4,5.0,17,161.0,79.0,15295.0,120.0,1,33.5,3.0,None,Individual,No,No,Yes,Yes,No,No,1,628
905916882278232111,https://www.airbnb.com/rooms/905916882278232111,161416242,Entire home,39.7670638182,-105.0352594371,2,1.0,4,4.95,19,242.0,68.0,18786.0,142.0,1,22.0,4.0,High,Small,No,No,Yes,No,No,No,1,629
910315103161820195,https://www.airbnb.com/rooms/910315103161820195,302808325,Entire home,39.7828359357,-105.0369339758,2,1.5,5,4.9,10,167.5,90.0,5896.0,42.0,3,72.5,3.5,High,Individual,No,No,Yes,Yes,No,No,1,630
913052917983850165,https://www.airbnb.com/rooms/913052917983850165,68824426,Entire home,39.7706862403,-105.0402822659,2,1.0,4,5.0,21,180.0,75.0,12748.0,111.0,2,13.5,3.0,High,Small,No,No,Yes,No,No,No,1,631
920144202613738942,https://www.airbnb.com/rooms/920144202613738942,219524979,Entire rental unit,39.762128121,-105.0104535305,2,0.0,4,-Unknown,2,413.0,68.0,6109.0,40.0,2,24.5,3.0,High,Large,No,No,Yes,No,No,No,1,632
920149942789832505,https://www.airbnb.com/rooms/920149942789832505,219524979,Entire rental unit,39.7639068286,-105.0121135546,2,0.0,4,4.69,13,393.5,50.0,15820.0,111.0,2,9.0,1.0,High,Large,No,No,Yes,No,No,No,1,633
920152089524348145,https://www.airbnb.com/rooms/920152089524348145,219524979,Entire rental unit,39.762329712,-105.0121668933,2,0.0,4,4.38,8,404.5,47.0,14869.0,108.0,2,11.5,1.0,High,Large,No,No,Yes,No,No,No,1,634
922036696393738450,https://www.airbnb.com/rooms/922036696393738450,23724674,Entire home,39.77176,-105.02089,2,2.5,5,5.0,9,275.0,67.0,12858.0,92.0,6,10.0,7.0,Low,Small,No,No,Yes,No,No,No,1,635
924901186512562905,https://www.airbnb.com/rooms/924901186512562905,27860032,Entire home,39.7656015802,-105.0071842624,2,2.0,5,5.0,4,299.0,85.0,5705.0,27.0,2,30.0,3.0,Low,Small,No,No,Yes,Yes,No,No,1,636
927584143056716138,https://www.airbnb.com/rooms/927584143056716138,212108716,Entire home,39.7665000648,-105.0203395027,2,2.0,7,5.0,9,299.0,90.0,11213.0,41.0,2,10.0,7.0,None,Individual,No,No,Yes,No,No,No,1,637
932008639141038173,https://www.airbnb.com/rooms/932008639141038173,947828,Private room in home,39.7638357004,-105.0359896382,2,1.0,4,-NA,0,400.0,14.0,3272.0,66.0,29,9.5,4.5,None,Small,No,No,No,Yes,No,No,1,638
935117721555945908,https://www.airbnb.com/rooms/935117721555945908,71753330,Entire home,39.7654728824,-105.0466710852,2,2.0,5,4.8,10,356.0,47.0,9355.0,62.0,2,15.0,2.0,Moderate,Individual,No,Yes,Yes,Yes,No,No,1,639
944295055727631933,https://www.airbnb.com/rooms/944295055727631933,343743763,Entire condo,39.7633809887,-105.0043328423,2,2.0,2,5.0,1,125.0,100.0,5790.0,65.0,30,30.0,11.0,Low,Small,No,No,Yes,No,No,No,1,640
944970419153082585,https://www.airbnb.com/rooms/944970419153082585,452537929,Entire home,39.754609,-105.0243052,2,3.0,4,-NA,0,130.0,0.0,0.0,35.0,30,0.0,0.0,None,Moderate,No,No,Yes,No,No,No,1,641
952411800728489483,https://www.airbnb.com/rooms/952411800728489483,50323345,Entire home,39.77376,-105.04952,2,1.0,4,-NA,0,79.0,70.0,7358.0,97.0,29,28.0,41.5,None,Small,No,No,Yes,Yes,No,No,1,642
961827750534477545,https://www.airbnb.com/rooms/961827750534477545,417014391,Entire home,39.7779567545,-105.0442333868,2,2.0,4,-NA,0,200.0,0.0,0.0,28.0,30,162.0,1.0,Low,Small,No,No,Yes,Yes,No,No,1,643
966248744026056704,https://www.airbnb.com/rooms/966248744026056704,442243942,Entire rental unit,39.7528294929,-105.0243621127,2,4.0,4,-NA,0,235.0,46.0,3730.0,66.0,29,2.0,30.0,Low,Large,No,No,Yes,Yes,No,No,1,644
967632527330246121,https://www.airbnb.com/rooms/967632527330246121,130583034,Entire home,39.7756267086,-105.0439391804,2,1.5,5,5.0,16,218.0,82.0,2232.0,17.0,1,51.0,2.0,High,Individual,No,No,Yes,No,No,No,1,645
