 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
7311006,https://www.airbnb.com/rooms/7311006,32195150,Entire rental unit,43.66028,-70.25729,1,1.0,3,4.87,251,193.0,60.0,40476.0,357.0,1,38.5,2.0,Low,Individual,No,No,Yes,Yes,No,No,0,155
7429873,https://www.airbnb.com/rooms/7429873,38879133,Entire home,43.63993,-70.23909,1,1.0,2,5.0,1,85.0,0.0,0.0,0.0,30,0.0,0.0,None,Individual,No,No,Yes,Yes,No,No,0,156
7511953,https://www.airbnb.com/rooms/7511953,20154715,Entire home,43.66745,-70.25403,1,1.0,2,4.72,60,273.0,95.0,26099.0,114.0,2,37.0,6.0,Low,Small,No,No,Yes,No,No,No,0,157
7628660,https://www.airbnb.com/rooms/7628660,40018795,Entire rental unit,43.64939,-70.26273,1,1.0,2,4.98,288,148.0,89.0,79062.0,347.0,5,18.5,6.5,Low,Individual,No,No,Yes,No,No,No,0,158
7783634,https://www.airbnb.com/rooms/7783634,40745928,Entire rental unit,43.38084,-70.51374,1,1.0,5,4.88,125,225.0,100.0,4789.0,44.0,1,158.5,18.0,None,Individual,No,No,Yes,Yes,No,No,0,159
7866865,https://www.airbnb.com/rooms/7866865,41459880,Entire home,43.51956,-70.3745,1,1.0,4,4.6,5,200.0,70.0,8956.0,71.0,7,87.5,10.0,None,Small,No,No,Yes,No,No,No,0,160
8025399,https://www.airbnb.com/rooms/8025399,4976179,Entire home,43.6488,-70.26467,1,1.5,2,4.75,49,190.0,98.0,29124.0,250.0,5,80.5,3.5,Moderate,Individual,No,No,Yes,Yes,No,No,0,161
8362127,https://www.airbnb.com/rooms/8362127,28929085,Entire rental unit,43.70039,-70.24139,1,1.0,2,4.96,83,156.0,82.0,23281.0,165.0,3,59.0,3.0,None,Individual,No,No,No,No,Yes,No,0,162
8380010,https://www.airbnb.com/rooms/8380010,24305311,Entire vacation home,43.52018,-70.36975,1,1.0,2,-NA,0,275.0,58.0,17600.0,139.0,7,34.0,40.0,None,Individual,No,No,Yes,No,No,No,1,163
8611269,https://www.airbnb.com/rooms/8611269,3092115,Entire rental unit,43.66999,-70.29614,1,1.0,2,4.85,418,100.0,76.0,25881.0,358.0,3,56.0,3.0,Moderate,Small,No,No,Yes,No,No,No,0,164
8760461,https://www.airbnb.com/rooms/8760461,42593387,Entire rental unit,43.65053,-70.26236,1,1.0,4,4.67,382,214.0,65.0,22643.0,155.0,2,42.0,2.0,Moderate,Small,No,No,Yes,No,No,No,0,165
9372370,https://www.airbnb.com/rooms/9372370,32861689,Entire cottage,43.82987,-70.3248,1,1.0,3,4.9,10,182.0,95.0,26906.0,148.0,3,53.0,3.0,None,Individual,No,No,Yes,No,No,No,1,166
